"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"MOG"	-0.00975659570041568	5.04063144032922	-0.317583508028786	0.751071707875633	0.983000577039618	-6.1470592458573
"ZNF837"	-0.00976566643550677	6.90453242798354	-0.343542492945217	0.73148536049307	0.981575012483345	-6.13879780437999
"CLCNKA"	-0.00977946185853035	6.76319748971193	-0.316112250283935	0.752186773759735	0.983074555287909	-6.14750806374017
"ATAD3C"	-0.00978243481276	5.38482810699588	-0.399206490872635	0.690089234133712	0.978658610324839	-6.11889811286668
"VANGL2"	-0.00979650693481262	7.90034378600823	-0.20122736817466	0.840687955597059	0.990393314069804	-6.1761231424862
"ATXN7L2"	-0.00979685298196937	6.65009300411523	-0.319918672973514	0.749302961217354	0.982012060332574	-6.14634261155368
"VCP"	-0.00979785298196913	9.32435242798354	-0.221784245868957	0.82466681725636	0.989148029907961	-6.17193604943256
"TRHR"	-0.00981451386962561	4.28525127572016	-0.219172582833108	0.826698311638803	0.989148029907961	-6.17249055947809
"TICAM1"	-0.00981480027739232	7.05004489711934	-0.328933510192977	0.742487280585487	0.981833509859819	-6.14352685410928
"ASL"	-0.00981898890429961	7.38774238683128	-0.253152320147867	0.800363052056778	0.986832545024729	-6.16476298304782
"U2AF1"	-0.00981976421636652	7.49287514403292	-0.19380184121749	0.846491821841084	0.990796934147468	-6.17753558374706
"LOC100128079"	-0.00982684257975021	5.61316893004115	-0.246234531978122	0.805707105403546	0.987523915898146	-6.16642630064556
"ZBTB7B"	-0.00983082454923726	6.95919818930041	-0.330846105774954	0.741043847622947	0.981833509859819	-6.14291940897292
"SLC6A9"	-0.00984189597780835	6.92406181069959	-0.303736222953732	0.761586957483256	0.984009399511652	-6.15120102990568
"CNFN"	-0.00984245769764285	6.07209847736626	-0.345291484479193	0.730171871730291	0.981474679061428	-6.13821788289266
"C7orf34"	-0.00984697156726737	5.91164160493827	-0.254977898754067	0.798954331754122	0.986827468740884	-6.16431635876273
"DAP3"	-0.00984754923717101	7.40889534979424	-0.228837234658228	0.819186554987115	0.9876048538567	-6.17040574692757
"RGR"	-0.00984875034674055	5.77213271604938	-0.355405922510674	0.722591670705023	0.980800212273404	-6.13480649152238
"SSTR5"	-0.00985506518724	6.71804810699588	-0.374476627343178	0.708374048047507	0.980284013127609	-6.12810672585241
